time,power_garage,power_sous_sol_1,power_sous_sol_2,power_cuisine,power_salle_manger,power_salle_eau,power_salle_bain,power_chambre_1,power_chambre_2,power_chambre_3,power_salon,power_heat_pump,demand_garage,demand_sous_sol_1,demand_sous_sol_2,demand_cuisine,demand_salle_manger,demand_salle_eau,demand_salle_bain,demand_chambre_1,demand_chambre_2,demand_chambre_3,demand_salon,demand_heat_pump,setpoint_garage,setpoint_sous_sol_1,setpoint_sous_sol_2,setpoint_cuisine,setpoint_salle_manger,setpoint_salle_eau,setpoint_salle_bain,setpoint_chambre_1,setpoint_chambre_2,setpoint_chambre_3,setpoint_salon,setpoint_heat_pump,temperature_garage,temperature_sous_sol_1,temperature_sous_sol_2,temperature_cuisine,temperature_salle_manger,temperature_salle_eau,temperature_salle_bain,temperature_chambre_1,temperature_chambre_2,temperature_chambre_3,temperature_salon,temperature_heat_pump,Ext_Temp,GHI
2026-01-06 18:30,1635.762587146386,466.1320265964496,325.84712291393225,295.4390183251562,359.65214027559705,79.9270939,276.0210969151067,343.44002473481305,298.5727369391243,282.8221507421513,411.78295301985054,0,81.78812935731929,23.306601329822477,16.292356145696612,19.695934555010414,28.772171222047763,15.985418779079918,27.60210969151067,27.475201978785044,23.885818955129945,22.625772059372103,27.452196867990036,0,21,21,21,21,21,21,21,21,21,21,21,,21,21,21,21,21,21,21,21,21,21,21.000000000000004,,-9.1,0
2026-01-06 18:45,1633.2178413175295,467.7870332871171,326.2201044525318,296.05589554043763,361.6692502718252,80.12702177340543,276.2542176820589,343.9097163422666,298.9451255428503,283.2400414100084,414.0751817547971,0,81.66089206587647,23.389351664355853,16.31100522262659,19.73705970269584,28.93354002174602,16.025404354681086,27.62542176820589,27.51277730738133,23.915610043428025,22.659203312800674,27.605012116986472,0,21,21,21,21,21,21,21,21,21,21,21,,21,21,21,21,21,21,21,21,21,21,21,,-9,0
2026-01-06 19:00,1624.6016642507857,468.3200395540771,325.9144420960183,296.1980501868129,362.9234966838558,80.23115161088572,276.1414150563651,343.95163075477467,298.8990377536611,283.26511556410696,415.3464658599296,0,81.23008321,23.416001977703853,16.295722104800916,19.74653667912086,29.033879734708464,16.046230322177145,27.614141505636507,27.516130460381973,23.91192302029289,22.661209245128557,27.689764390661974,0,21,21,21,21,21,21,21,21,21,21,21,,21,21,21.000000000000004,21,21,21,21,21,21,21.000000000000004,21,,-8.1,0
2026-01-06 19:15,1615.8602176156182,468.5999954946056,325.4313385793903,296.1991548733168,363.8870812708483,80.24616355563194,275.98569811450943,343.97849828319886,298.78303689675886,283.2248657352793,416.2633747,0,80.79301088078091,23.42999977473028,16.271566928969513,19.746610324887786,29.110966501667864,16.049232711126386,27.598569811450943,27.51827986265591,23.90264295174071,22.657989258822344,27.750891643501866,0,21,21,21,21,21,21,21,21,21,21,21,,21,21,21,21,21,21,21,21,21,21,21,,-8,0
2026-01-06 19:30,1607.0532416418937,468.706133,324.88034682084617,296.08713046471166,364.6574957031007,80.20095504896744,275.8067449719674,343.9888301499486,298.6266221957121,283.14902896388594,416.9351902354938,0,80.35266208209468,23.43530665,16.24401734104231,19.739142030980776,29.172599656248057,16.04019100979349,27.580674497196743,27.51910641199589,23.89012977565697,22.651922317110873,27.79567934903292,0,21,21,21,21,21,21,21,21,21,21,21,,21,21,21,21,21,21,21,21,21,21,21,,-8,0
2026-01-06 19:45,1598.2108119426157,468.6533718116698,324.2733235035994,295.91725964669604,365.2788207321719,80.12442141383872,275.60596388265185,344.00404003472795,298.4381631260658,283.0463271149929,417.4181167899915,0,79.91054059713078,23.43266859058349,16.21366617517997,19.727817309779734,29.22230565857375,16.024884282767744,27.560596388265186,27.520323202778236,23.875053050085263,22.643706169199433,27.827874452666098,0,21,21,21,21,21,21,21,21,21,21,21,,21,21,21.000000000000004,21,21,21,21,21,21,21,21,,-7.9,0
2026-01-06 20:00,1596.2200017883697,469.6066831007738,324.3126449285119,296.2405024271866,366.7024870170826,80.07851947259769,275.8516948693596,344.6431165831891,298.7153562975109,283.39031443983185,418.8437225,0,79.81100009,23.48033415503869,16.215632246425592,19.749366828479104,29.33619896136661,16.01570389451954,27.585169486935964,27.571449326655127,23.89722850380087,22.671225155186548,27.922914835235133,0,21,21,21,21,21,21,21,21,21,21,21,,21,21,21,21,21,21,21,21,21,21,21,,-7.4,0
2026-01-06 20:15,1594.417850527947,470.57943005252673,324.47918827383546,296.67067700507323,368.2708283,80.09403063,276.1445411174227,345.3666411063132,299.0330178412187,283.7801340160913,420.3882242,0,79.72089252639735,23.528971502626337,16.223959413691773,19.778045133671547,29.461666266549443,16.01880613,27.61445411174227,27.629331288505053,23.922641427297496,22.702410721287308,28.02588161,0,21,21,21,21,21,21,21,21,21,21,21,,21,21,21,21,21,21.000000000000004,21,21,21,21,21,,-7.6,0
2026-01-06 20:30,1592.646945080356,471.5122717882477,324.63039403764924,297.1153734169784,369.7933969817641,80.12989941746127,276.42261494235026,346.08736287130523,299.3320056004741,284.1574186154212,421.86913731617096,0,79.63234725,23.575613589412384,16.231519701882462,19.807691561131893,29.583471758541126,16.025979883492255,27.642261494235026,27.686989029704417,23.946560448037925,22.732593489233697,28.12460915,0,21,21,21,21,21,21,21,21,21,21,21,,21,21,21,21,21,21,21,21,21,21,21,,-7.5,0
2026-01-06 20:45,1590.841471079586,472.3802609766317,324.7655939379001,297.53624086414493,371.2403049011664,80.15881833745516,276.67557934018623,346.78569080324814,299.5973442973882,284.5076931850999,423.26192993326185,0,79.54207355,23.619013048831583,16.238279696895006,19.835749390942997,29.69922439209331,16.03176366749103,27.667557934018625,27.742855264259852,23.967787543791054,22.760615454807994,28.21746199555079,0,21,21,21,21,21,21,21,21,21,21,21,,21,21,21,21,21,21,21,21,21,21,21,,-7.4,0
